subject,subcategory,question,a,b,c,d,answer,long_explanation,short_explanation
Bio,Eukaryotic Cell,The ribosomal subunits are composed of both RNA and protein. In what subcellular organelle are these individual subunits assembled?,Golgi apparatus,Endoplasmic reticulum,Cytoplasm,Nucleolus,D,"*Ribosomal subunits, composed of ribosomal RNA (rRNA) and proteins, are assembled in the nucleolus.
*rRNA is synthesized in the nucleolus. 
*The ribosomal proteins are manufactured in the cytoplasm and transported to the nucleolus.
*These subunits are then transported to the cytoplasm where they carry out translation. The subunits associate with each other to form a full ribosome at the start of translation.",*Ribosomes are assembled in the nucleolus.
Bio,Eukaryotic Cell,In what subcellular organelle is the greatest deviation from physiological pH seen?,Lysosome,Golgi apparatus,Endoplasmic reticulum,Nucleus,A,"*Of the organelles listed, the lysosome has the greastest deviation from physiological pH (about 7.4) with a pH of about 5.
*Lysosomal enzymes are most active at this pH and degrade proteins, lipids, carbohydrates, nucleotides, and cell debris. 
*The other organelles listed will not deviate significantly from physiological pH.","*With its variety of hydrolytic enzymes, the lysosome maintains a pH of about 5, far from the physiological pH of about 7.4."
Bio,Eukaryotic Cell,What subcellular organelle is most associated with drug detoxification?,Mitochondria,Endoplasmic Reticulum,Nucleus,Golgi apparatus,B,"*The endoplasmic reticulum aids in drug detoxification.
*It is also involved in lipid and steroid synthesis as well as protein synthesis, folding, and transport.",*The endoplasmic reticulum is reponsible for drug detoxification.
Bio,Eukaryotic Cell,"In eukaryotic cellular respiration, the electron transport chain uses energy stored in reduced coenzymes to phosphorylate ADP to ATP. The energy released from these electrons is used to actively transport protons into:",the thylakoid space.,the cytoplasm.,the mitochondrial intermembrane space.,the mitochondrial matrix.,C,"*Protons are actively pumped into the mitochondrial intermembrane space as reduced forms of coenzymes (like NADH and FADH2) give up their high energy electrons.
*The energy released from these electrons is coupled with the active transport of protons into the intermembrane space.
*The energy stored in the proton gradient is used to phosphorylate ADP.",*The energy released as electrons move down the electron transport chain is used to actively transport protons into the mitochodrial intermembrane space.
Bio,Eukaryotic Cell,Microfilaments are composed of polymers of:,mysosin.,troponin.,titin.,actin.,D,"*Microfilaments are polymers of actin.
*They are the thinnest constituents of the cytoskeleton.
*Microfilaments, intermediate filaments, and microtubules combine to form the cytoskeleton of the cell.",*Microfilaments are polymers of actin.
Bio,Nephron,"In the nephron, epithelial cells that actively transport large amounts of solutes tend to consume greater amounts of ATP and contain more mitochondria in their cytoplasms. Based on this information, epithelial cells located in which of the following areas of the nephron contain the largest number of mitochondria?",The collecting duct,The descending limb of the loop of Henle,The thick ascending limb of the loop of Henle,The thin ascending limb of the loop of Henle,C,"*Epithelial cells in the thick ascending limb of the loop of Henle will contain the largest number of mitochondria. 
*There, sodium is actively pumped out of the filtrate, a process that consumes a large amount of ATP. In order to provide the necessary energy, these cells contain an increased number of mitochondria. 
*In the other regions of the nephron listed, facillitated diffusion is the primary means of transport.","*The thick ascending limb of the loop of Henle transports solutes primarily through the use of active of transport.
*The large amount of ATP consumed in this process is provided by the increased number of mitochondria."
Bio,Endocrine System,Which of the following hormones is released from the posterior pituitary gland?,Thyroid-stimulating hormone (TSH),Luteinizing hormone (LH),Growth hormone,Oxytocin,D,"*The posterior pituitary gland releases two major hormones: oxytocin (involved in childbirth and breastfeeding) and vasopressin (ADH - maintains plasma osmolarity).
*LH (most associated with ovulation), growth hormone (stimulates bone and muscle growth), and TSH (regulates thyroid hormone production) are released from the anterior pituitary.","*The posterior pituitary releases oxytocin.
*LH, growth hormone, and TSH are released from the anterior pituitary."
Bio,Nephron,"In response to increased plasma osmolarity, the body secretes vasopressin. From where is this hormone released into the bloodstream?",The posterior pituitary,The anterior pituitary,The hypothalamus,The kidneys,A,"*Though synthesized in the hypothalamus, vasopressin (ADH) is released from the posterior pituitary gland, as is oxytocin. 
*The posterior pituitary is composed of axon projections from the hypothalamus that store and release these hormones. ","*Though synthesized in the hypothalamus, vasopressin (ADH) is stored in and released from the posterior pituitary gland."
Bio,Nephron,The presence of red blood cells in the urine is an indication of damage to the:,Loop of Henle.,glomerulus.,proximal convoluted tubule.,distal convoluted tubule.,B,"*Red blood cells or proteins in the urine is usually an indication of damage to the glomerulus. 
*Blood entering the nephron is filtered on a size exclusionary basis in the glomerulus. Larger blood components, like cells and proteins, are too big to enter the filtrate if the glomerulus is functioning properly. 
*No alternative mechanisms exist to remove them from the filtrate so cells and proteins that enter are passed in the urine.","*The presence of red blood cells in the urine is usually an indication of damange to the glomerulus.
*Larger blood components, like cells and proteins, are filtered out of the filtrate in the glomerulus."
Bio,Nephron,"Angiotensin converting enzyme (ACE) inhibitors are a common treatment for hypertension. It inhibits the conversion of angiotensin I into angiotensin II, a hormone that affects vasoconstriction and aldosterone production. Based on this information, ACE inibitors treat hypertension by:",increasing blood volume and increasing blood vessel relaxation.,increasing blood volume and decreasing blood vessel relaxation.,decreasing blood volume and increasing blood vessel relaxation.,decreasing blood volume and decreasing blood vessel relaxation.,C,"*Because they inhibit the production of angiotensin II, ACE inhibitors treat blood pressure by decreasing blood volume and promoting vasodilation. 
*Angiotensin Converting Enzyme (ACE) converts angiotensin I to angiotensin II.
*Angiotensin II has two functions: it increases vasoconstriction and stimulates the release of aldosterone. Aldosterone increases the blood volume by promoting the reabsorption of sodium in the nephron. 
","*ACE inhibitors block the production of angiotensin II, which results in vasodilation and a decrease in blood volume.
*Angiotensin II promotes vasoconstriction and the release of aldoesterone. Aldoesterone increases blood volume."
